Title,Ingredients,Instructions
cannoli,"['1 cup ricotta', '1/2 cup mascarpone', ""1/2 cup confectioners' sugar"", '1/4 teaspoon vanilla extract', '1/2 teaspoon grated orange zest', '2 tablespoons chopped pistachios (optional)', '1 pound cake (we like the 11-ounce Sara Lee)', '1 cup fresh berries (any kind)']","1. Wrap the ricotta in a few damp paper towels and squeeze it over the sink for 30 seconds.
2. Whisk it in a large bowl until smooth.
3. Add the mascarpone, sugar, vanilla, and orange zest and whisk until fully incorporated.
4. Fold in the pistachios (if using).
5. Cut the pound cake into 1/2-inch slices and toast them in a toaster oven, or in a regular oven at 190°C for about 2 minutes a side.
6. Top each slice with a dollop of the cream, then sprinkle with the berries."
caprese_salad,"['1 pint mixed cherry tomatoes, preferably heirloom, halved', '7 tablespoons (or more) extra-virgin olive oil, divided', 'Flaky sea salt', '2 pounds mixed medium and large tomatoes, preferably heirloom, cut into thin slices and/or wedges', '8 ounces buffalo mozzarella or mozzarella, room temperature, torn into pieces', 'Coarsely ground black pepper', 'Small basil leaves and toasted country bread (for serving)']","1. Wrap the ricotta in a few damp paper towels and squeeze it over the sink for 30 seconds.
2. Whisk it in a large bowl until smooth.
3. Add the mascarpone, sugar, vanilla, and orange zest and whisk until fully incorporated.
4. Fold in the pistachios (if using).
5. Cut the pound cake into 1/2-inch slices and toast them in a toaster oven, or in a regular oven at 190°C for about 2 minutes a side.
6. Top each slice with a dollop of the cream, then sprinkle with the berries."
carrot_cake,"['1 pound carrots (6 or 7 large carrots), peeled', '2 1/2 cups flour', '1 1/4 teaspoons baking powder', '1 teaspoon baking soda', '1 1/4 teaspoons ground cinnamon', '1/2 teaspoon ground nutmeg', '1/8 teaspoon ground cloves', '1/2 teaspoon salt', ""1 1/2 cups confectioners' sugar"", '1/2 cup packed dark brown sugar', '1 1/4 cups vegetable oil', '4 eggs, lightly beaten']","1 Preheat the oven to 180°C. Grease two 9-inch round pans or one 9 by 13-inch pan or with cooking spray or oil. In addition, you can also place a cut-out parchment circle on the bottom of the pan.
2 Grate the carrots with a grater (the old-school way!) or a food processor. I prefer medium-grated carrots—not too big, not too fine.
3 In a large bowl, mix together the flour, baking powder, baking soda, cinnamon, nutmeg, cloves, salt, confectioner's sugar, and brown sugar. Stir in the oil and eggs, then the carrots.
4 Pour the batter into the prepared pan and bake for 30 to 40 minutes, or until a toothpick comes out clean.
5 Cool completely, then frost cream cheese frosting."
ceviche,"['4 x 6-ounce white fish fillets (such as sole, croaker, or grouper)', '2 cloves garlic, very finely chopped', '2 teaspoons limo chile (or substitute habanero), chopped', '1 cup key lime or lemon juice', '1 teaspoon chopped cilantro leaves', '2 or 3 ice cubes', '1 red onion, sliced into half-moon crescents', 'Salt and pepper', '1 corncob, cooked and kernels removed', '1/2 sweet potato, boiled and sliced']","1 Preheat the oven to 180°C. Grease two 9-inch round pans or one 9 by 13-inch pan or with cooking spray or oil. In addition, you can also place a cut-out parchment circle on the bottom of the pan.
2 Grate the carrots with a grater (the old-school way!) or a food processor. I prefer medium-grated carrots—not too big, not too fine.
3 In a large bowl, mix together the flour, baking powder, baking soda, cinnamon, nutmeg, cloves, salt, confectioner's sugar, and brown sugar. Stir in the oil and eggs, then the carrots.
4 Pour the batter into the prepared pan and bake for 30 to 40 minutes, or until a toothpick comes out clean.
5 Cool completely, then frost cream cheese frosting."
cheesecake,"['1 1/2 cups graham cracker crumbs', '3 tablespoons plus 1 cup sugar, divided', '1/3 cup butter, melted', '4 packages (8 oz. each) Philadelphia Cream Cheese, softened', '1 teaspoon vanilla', '4 eggs']","Heat oven to 160°C.
Combine graham crumbs, 3 tablespoons sugar and butter; press onto bottom of 9-inch springform pan.
Beat cream cheese, 1 cup of the remaining sugar and vanilla with mixer until blended. Add eggs, 1 at a time, mixing on low speed after each just until blended. Pour over crust.
Bake until center is almost set, about 55 minutes. Run knife around rim of pan to loosen cake; cool before removing rim. Refrigerate cheesecake 4 hours.
Recipe is courtesy of The Kraft Heinz Company."
chicken_curry,"['10 dried guajillo or New Mexico chiles (about 2 1/2 ounces total), wiped clean, stemmed, and seeded', '2 tablespoons whole coriander seeds', '4 1/2 teaspoons whole cumin seeds', '2 teaspoons whole fennel seeds', '1 (1-inch) cinnamon stick', '1/4 cup whole macadamia nuts (8 to 10 nuts), plus 1/4 cup, chopped, for optional garnish', '8 shallots, coarsely chopped (about 1 1/4 cups)', '4 1/2 teaspoons ginger, minced (from about 1 1/2-inch knob)', '8 cloves garlic, roughly chopped', '2 tablespoons ground turmeric', '3 stalks fresh lemongrass, root ends trimmed and 1 or 2 outer layers discarded', '1/4 cup vegetable oil', '2 whole (3-pound) chickens, each cut into 8 pieces, then breasts cut in half', '2 tablespoons kosher salt', '2 (15 1/2-ounce) cans unsweetened coconut milk', '1/2 cup unsweetened shredded coconut, toasted', 'Double recipe Steamed White Rice', '8 lime wedges']","Heat oven to 160°C.
Combine graham crumbs, 3 tablespoons sugar and butter; press onto bottom of 9-inch springform pan.
Beat cream cheese, 1 cup of the remaining sugar and vanilla with mixer until blended. Add eggs, 1 at a time, mixing on low speed after each just until blended. Pour over crust.
Bake until center is almost set, about 55 minutes. Run knife around rim of pan to loosen cake; cool before removing rim. Refrigerate cheesecake 4 hours.
Recipe is courtesy of The Kraft Heinz Company."
chicken_quesadilla,"['1/2 teaspoon ground cumin', '5 tablespoons olive oil, divided', '1 1/4 teaspoons kosher salt, divided', '3/4 teaspoon freshly ground black pepper, divided', '1 1/4 pounds boneless, skinless chicken thighs, trimmed', '6 ounces button mushrooms, trimmed, coarsely chopped', '2 limes', '1/2 cup Greek-style plain full- or low-fat yogurt', '3 tablespoons coarsely chopped cilantro, plus whole leaves for serving', '2 medium carrots (about 4 ounces each), peeled', '1 medium mango, thinly sliced', '5 ounces baby spinach (about 4 packed cups)', '4 (10"") flour tortillas', '2 cups shredded Monterey Jack cheese (about 8 ounces)']","Preheat oven to 220°C. Stir cumin, 3 Tbsp. oil, 1 tsp. salt, and 1/2 tsp. pepper in a large bowl. Add chicken and mushrooms and toss to coat. Spread on a rimmed baking sheet and roast until an instant-read thermometer inserted into thickest part of thigh registers 165°C, 15–17 minutes.
Meanwhile, juice limes to yield 6 Tbsp. juice. Blend yogurt, 3 Tbsp. lime juice, and 3 Tbsp. cilantro in a blender until smooth.
Shave carrots with a vegetable peeler lengthwise into ribbons (or use the large holes of a box grater). Whisk 1 Tbsp. oil and remaining 3 Tbsp. lime juice, 1/4 tsp. salt, and 1/4 tsp. pepper in a large bowl. Add carrots and mango; toss gently to coat.
Remove baking sheet from oven, arrange spinach over chicken, and continue to roast until spinach is wilted, about 2 minutes. Transfer chicken to a cutting board, leaving spinach on sheet, and thinly slice.
Arrange tortillas on a work surface. Dividing evenly, layer cheese, chicken, mushrooms, and spinach on one side of each tortilla. Fold tortillas in half to create half-moons.
Heat 1 1/2 tsp. oil in a large heavy skillet over medium-low until hot. Cook 2 quesadillas, turning once, until cheese is melted and tortillas are browned, 1–2 minutes per side. Transfer quesadillas to serving plates, then cook remaining quesadillas with remaining 1 1/2 tsp. oil.
Sprinkle quesadillas with cilantro leaves and serve with yogurt sauce and carrot-mango slaw alongside.
Chicken and mushrooms can be cooked and yogurt sauce can be made 4 days ahead; cover and chill."
chicken_wings,"['2 cups ketchup', '1/2 cup cider vinegar', '1/2 cup water', 'Juice of 1 lemon', '2 tablespoons Worcestershire sauce', '2 tablespoons Tabasco sauce', '2 tablespoons unsulfured molasses', '2 tablespoons Dijon mustard', '2 tablespoons chili powder', '1/4 cup (packed) dark brown sugar', '2 teaspoons finely minced garlic', '2 teaspoons smoked paprika', 'Salt and freshly ground black pepper, to taste', '30 chicken wings (tips removed), rinsed and patted dry', '4 scallions, thinly sliced on the diagonal, for garnish']","Preheat oven to 220°C. Stir cumin, 3 Tbsp. oil, 1 tsp. salt, and 1/2 tsp. pepper in a large bowl. Add chicken and mushrooms and toss to coat. Spread on a rimmed baking sheet and roast until an instant-read thermometer inserted into thickest part of thigh registers 165°C, 15–17 minutes.
Meanwhile, juice limes to yield 6 Tbsp. juice. Blend yogurt, 3 Tbsp. lime juice, and 3 Tbsp. cilantro in a blender until smooth.
Shave carrots with a vegetable peeler lengthwise into ribbons (or use the large holes of a box grater). Whisk 1 Tbsp. oil and remaining 3 Tbsp. lime juice, 1/4 tsp. salt, and 1/4 tsp. pepper in a large bowl. Add carrots and mango; toss gently to coat.
Remove baking sheet from oven, arrange spinach over chicken, and continue to roast until spinach is wilted, about 2 minutes. Transfer chicken to a cutting board, leaving spinach on sheet, and thinly slice.
Arrange tortillas on a work surface. Dividing evenly, layer cheese, chicken, mushrooms, and spinach on one side of each tortilla. Fold tortillas in half to create half-moons.
Heat 1 1/2 tsp. oil in a large heavy skillet over medium-low until hot. Cook 2 quesadillas, turning once, until cheese is melted and tortillas are browned, 1–2 minutes per side. Transfer quesadillas to serving plates, then cook remaining quesadillas with remaining 1 1/2 tsp. oil.
Sprinkle quesadillas with cilantro leaves and serve with yogurt sauce and carrot-mango slaw alongside.
Chicken and mushrooms can be cooked and yogurt sauce can be made 4 days ahead; cover and chill."
chocolate_cake,"[""2 pounds medium to large boiling potatoes, such as Yukon gold (see Cooks' Notes)"", '2 tablespoons unsalted butter, melted', '2 tablespoons all-purpose flour', 'Salt', 'Freshly ground black pepper', '2 cups milk', '4 ounces sharp Cheddar or Gruyère, coarsely grated (1 cup; optional)', 'Mandoline or vegetable slicer; 2-quart flameproof shallow baking dish (not glass)']","Heat oven to 190°C with rack in middle. Butter baking dish.
Peel and thinly slice potatoes into a large bowl and toss with butter. Spread potatoes in an even layer in the baking dish.
Put flour, 1 teaspoon salt, and 1/4 teaspoon pepper in a heavy medium saucepan and slowly whisk in milk until the mixture is smooth.
Bring milk mixture just to a boil over medium heat, whisking constantly (it will thicken slightly), and pour it over the potatoes. Cover pan tightly with foil and bake in oven until potatoes are tender, 35 to 40 minutes.
Remove foil and sprinkle with cheese, if using. Reset oven to broil and broil potatoes, about 4 to 5 inches from heat, until browned and bubbling, 2 to 3 minutes."
chocolate_mousse,"['2 cups chilled heavy cream', '4 large egg yolks', '3 tablespoons sugar', '1 teaspoon vanilla', '7 oz fine-quality bittersweet chocolate (not unsweetened), chopped', 'Garnish: lightly sweetened whipped cream', 'an instant-read thermometer']","Heat 3/4 cup cream in a 1-quart heavy saucepan until hot. Whisk together yolks, sugar, and a pinch of salt in a metal bowl until combined well, then add hot cream in a slow stream, whisking until combined. Transfer mixture to saucepan and cook over moderately low heat, stirring constantly, until it registers 70°C on thermometer. Pour custard through a fine-mesh sieve into a bowl and stir in vanilla.
Melt chocolate in a double boiler or a metal bowl set over a pan of simmering water (or in a glass bowl in a microwave at 50 percent power 3 to 5 minutes), stirring frequently. Whisk custard into chocolate until smooth, then cool.
Beat remaining 1 1/4 cups cream in a bowl with an electric mixer until it just holds stiff peaks. Whisk one fourth of cream into chocolate custard to lighten, then fold in remaining cream gently but thoroughly.
Spoon mousse into 8 (6-ounce) stemmed glasses or ramekins and chill, covered, at least 6 hours. Let stand at room temperature about 20 minutes before serving."
churros,"['About 2 quarts olive oil (not extra-virgin) or vegetable oil', '1(1-inch-wide) strip orange or lemon zest', '2 cups water', '1/4 teaspoon salt', '2 cups all-purpose flour', '1/2 cup coarse sugar crystals or granulated sugar or cinnamon sugar (1/2 cup sugar with 1 tablespoon cinnamon)', ""Warm chocolate sauce (see cooks' note below)"", 'Equipment: a deep-fat thermometer; a metal or plastic churro-maker fitted with a 5/8-inch star opening']","Heat 1 3/4 inches oil to 200°C in a wide 3 1/2-to 4-quart heavy pot over high heat (oil will be just beginning to smoke). Drop in zest (oil will bubble vigorously) and fry until browned, about 1 minute. Remove with tongs.
Prepare churros while oil heats:
Line 2 trays with parchment paper.
Bring water with salt to a boil in a heavy medium saucepan, covered. Add 2 teaspoons olive oil and remove from heat. Immediately add flour and stir vigorously with a wooden spoon until combined (mixture will be stiff and not very smooth). Fill churro-maker with some hot dough and wrap a kitchen towel around churro-maker canister.
Turn screw handle of churro-maker until dough emerges from star opening. Holding opening about 2 inches above a tray, turn handle to squeeze long lines of dough onto parchment. Cut lines into 3-inch pieces with kitchen shears. Repeat with remaining dough, including any scraps.
Fry churros, 10 to 12 at a time, turning occasionally, until golden but still slightly moist in center, 3 to 4 minutes per batch. Drain on paper towels. Return oil to 200°C between batches.
Roll warm churros in sugar and serve with warm chocolate sauce if desired."
clam_chowder,"['5 3/4 cups bottled clam juice', '5 pounds littleneck clams', '1/4 cup flour', '3 tablespoons canola oil', '3 shallots, sliced (1/4 inch)', '2 ribs diced (1/4 inch) celery', '2 heads garlic, halved', '1 tomato, quartered', '1 bunch parsley', '1/4 cup tomato paste', '1 cup white wine', '2 tablespoons butter', '3 sprigs thyme', 'Lemon juice', '1/4 cup Chicken Stock', '2 tablespoons diced (1/8 inch) shallot', '1 cup fresh corn kernels', '1/4 cup diced (1/4 inch) celery', 'Clams, reserved from making Clam Chowder Sauce', 'Confit Cherry Tomatoes', '1/4 cup green celery leaves', '12 cherry tomatoes, halved', '2 tablespoons cold butter', 'Salt', 'Celery leaves', 'Olive oil']","Heat 1 3/4 inches oil to 200°C in a wide 3 1/2-to 4-quart heavy pot over high heat (oil will be just beginning to smoke). Drop in zest (oil will bubble vigorously) and fry until browned, about 1 minute. Remove with tongs.
Prepare churros while oil heats:
Line 2 trays with parchment paper.
Bring water with salt to a boil in a heavy medium saucepan, covered. Add 2 teaspoons olive oil and remove from heat. Immediately add flour and stir vigorously with a wooden spoon until combined (mixture will be stiff and not very smooth). Fill churro-maker with some hot dough and wrap a kitchen towel around churro-maker canister.
Turn screw handle of churro-maker until dough emerges from star opening. Holding opening about 2 inches above a tray, turn handle to squeeze long lines of dough onto parchment. Cut lines into 3-inch pieces with kitchen shears. Repeat with remaining dough, including any scraps.
Fry churros, 10 to 12 at a time, turning occasionally, until golden but still slightly moist in center, 3 to 4 minutes per batch. Drain on paper towels. Return oil to 200°C between batches.
Roll warm churros in sugar and serve with warm chocolate sauce if desired."
club_sandwich,"['1/2 cup mayonnaise', '3 tablespoons finely chopped chives', '12 slices sandwich bread, toasted', '4 hard-boiled eggs, thinly sliced and seasoned with salt', '3 to 4 medium tomatoes, thinly sliced', '1 pound sliced bacon, halved and cooked until crisp', '2 cups loosely packed mixed herb leaves such as flat-leaf parsley, cilantro, and basil']","Heat 1 3/4 inches oil to 200°C in a wide 3 1/2-to 4-quart heavy pot over high heat (oil will be just beginning to smoke). Drop in zest (oil will bubble vigorously) and fry until browned, about 1 minute. Remove with tongs.
Prepare churros while oil heats:
Line 2 trays with parchment paper.
Bring water with salt to a boil in a heavy medium saucepan, covered. Add 2 teaspoons olive oil and remove from heat. Immediately add flour and stir vigorously with a wooden spoon until combined (mixture will be stiff and not very smooth). Fill churro-maker with some hot dough and wrap a kitchen towel around churro-maker canister.
Turn screw handle of churro-maker until dough emerges from star opening. Holding opening about 2 inches above a tray, turn handle to squeeze long lines of dough onto parchment. Cut lines into 3-inch pieces with kitchen shears. Repeat with remaining dough, including any scraps.
Fry churros, 10 to 12 at a time, turning occasionally, until golden but still slightly moist in center, 3 to 4 minutes per batch. Drain on paper towels. Return oil to 200°C between batches.
Roll warm churros in sugar and serve with warm chocolate sauce if desired."
